"GENUS"	"SUBFAMILY"	"FAMILY"	"ORDER"	"mean_age"	"max_age"	"min_age"	"n_gen"	"hyp_context"	"hyp_context_ex"	"hyp"	"hyp_context_sd"	"hyp_context_sd_ex"
"Eotragus"	"\N"	"Bovidae"	"Artiodactyla"	14.9642682926829	17.2	11.2	41	1.03617073170732	1.0429756097561	1	0.0681387930767138	0.0915648643871868
"Hypsodontus"	"\N"	"Bovidae"	"Artiodactyla"	14.58165	17.2	12.85	10	1.5105	1.3277	3	0.540058073009026	0.595341741262016
"Tethytragus"	"\N"	"Bovidae"	"Artiodactyla"	13.7603387096774	16.4	8.108	31	1.33035483870968	1.20135483870968	2	0.219701850756443	0.264853361741562
"Protragocerus"	"\N"	"Bovidae"	"Artiodactyla"	11.1970555555556	12.85	8.9	18	1.10027777777778	1.11361111111111	1	0.142779882235705	0.16805221138573
"Samotragus"	"\N"	"Bovidae"	"Artiodactyla"	10.7205	12.85	8.9	5	1.5384	1.63	1	0.520881272460433	0.6200806399171
"Moldoredunca"	"\N"	"Bovidae"	"Artiodactyla"	10.55	11.2	9.9	4	2.5715	2.5715	NA	0.857	0.857
"Protoryx"	"\N"	"Bovidae"	"Artiodactyla"	10.5115	14.2	7.6	10	1.4945	1.6045	1	0.268075549052874	0.399876439249259
"Miotragocerus"	"\N"	"Bovidae"	"Artiodactyla"	10.311768115942	16.4	7.6	46	1.28076086956522	1.31939130434783	1	0.209258392613599	0.239649046942572
"Austroportax"	"\N"	"Bovidae"	"Artiodactyla"	10.0303	11.657	8.9	5	1.1364	1.1478	1	0.140425425048315	0.15111982001048
"Ouzocerus"	"\N"	"Bovidae"	"Artiodactyla"	9.8818	12.85	7.6	5	1.7876	1.7122	2.2	0.275523683192571	0.303738703493644
"Pachytragus"	"\N"	"Bovidae"	"Artiodactyla"	9.46233333333333	12.85	8.108	3	1.82066666666667	1.69433333333333	3	0.310614444824019	0.312923845900777
"Pseudotragus"	"\N"	"Bovidae"	"Artiodactyla"	9.4401875	11.2	8.108	8	1.760375	1.70425	2	0.394430489077969	0.527153203537643
"Gazella"	"\N"	"Bovidae"	"Artiodactyla"	9.17658712121212	12.85	7.6	44	1.74527272727273	1.63409090909091	2.35714285714286	0.301845437394886	0.332149925393171
"Prostrepsiceros"	"\N"	"Bovidae"	"Artiodactyla"	9.1345	11.2	7.6	15	1.72626666666667	1.72153333333333	1.77777777777778	0.35644884759581	0.352537306367642
"Tragoportax"	"\N"	"Bovidae"	"Artiodactyla"	9.10289423076923	11.2	7.6	26	1.73334615384615	1.76357692307692	1.57692307692308	0.344609569490772	0.380307683127956
"Oioceros"	"\N"	"Bovidae"	"Artiodactyla"	9.07083333333333	12.85	7.6	6	1.63016666666667	1.485	2.16666666666667	0.239826117565762	0.360481899684298
"Mesembriacerus"	"\N"	"Bovidae"	"Artiodactyla"	9.00616666666667	9.9	7.6	3	1.99466666666667	1.861	3	0.262956903946889	0.240755062252074
"Palaeoreas"	"\N"	"Bovidae"	"Artiodactyla"	9.00004166666667	11.2	7.6	12	1.83	1.92591666666667	1	0.319710380301809	0.347901359670534
"Palaeoryx"	"\N"	"Bovidae"	"Artiodactyla"	8.7605	9.721	7.6	5	1.6802	1.6784	2	0.234820569797452	0.232652745524311
"Criotherium"	"\N"	"Bovidae"	"Artiodactyla"	8.661	9.937	7.6	7	1.894	1.74542857142857	3	0.211448181201289	0.230733509445317
"Helicotragus"	"\N"	"Bovidae"	"Artiodactyla"	8.25	8.9	7.6	3	1.63633333333333	1.59966666666667	2	0.236136260098557	0.260154441310029
"Nisidorcas"	"\N"	"Bovidae"	"Artiodactyla"	8.25	8.9	7.6	6	1.5815	1.66483333333333	1	0.263627578223524	0.327476665835395
"Cainotherium"	"\N"	"Cainotheriidae"	"Artiodactyla"	15.9998780487805	17.2	12.85	41	1.12407317073171	1.14987804878049	1	0.173803393270083	0.222852888148432
"Stephanocemas"	"\N"	"Cervidae"	"Artiodactyla"	15.7083333333333	17.2	12.85	3	1.14866666666667	1.15733333333333	1	0.145410912016029	0.152729608567996
"Procervulus"	"\N"	"Cervidae"	"Artiodactyla"	15.3632013888889	17.2	9.88	72	1.09441666666667	1.10806944444444	1	0.142510562988784	0.16884348335103
"Lagomeryx"	"\N"	"Cervidae"	"Artiodactyla"	15.1920350877193	17.2	7.6	76	1.06484210526316	1.07219736842105	1	0.133638422881204	0.154386702340743
"Stehlinoceros"	"\N"	"Cervidae"	"Artiodactyla"	14.2833571428571	16.4	11.146	14	1.06342857142857	1.06828571428571	1	0.0565055671671307	0.0620786456179437
"Heteroprox"	"\N"	"Cervidae"	"Artiodactyla"	14.1087631578947	16.4	11.2	19	1.09789473684211	1.10642105263158	1	0.108178296620205	0.118604063912702
"Dicrocerus"	"\N"	"Cervidae"	"Artiodactyla"	13.9672159090909	16.4	8.0266666666667	44	1.06611363636364	1.07609090909091	1	0.0921031312522508	0.114279506022859
"Euprox"	"\N"	"Cervidae"	"Artiodactyla"	11.6111551724138	16.4	7.6	58	1.14474137931034	1.16870689655172	1	0.188202817096282	0.23485254863579
