"LIDNUM"	"NAME"	"COUNTRY"	"LAT"	"LONG"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"BFA_MAX"	"BFA_MIN"	"MEAN_HYPSODONTY"	"n_loc"	"mn_HYP"	"mn_HYP_boo"	"sd_HYP_boo"	"sum_all"	"frac"
21004	"Belchatow C"	"Poland"	51.25	19.333	16.8	17.2	16.4	"mn4"	"mn4"	1	3	1	1	0	13.45	4.48333333333333
20032	"Córcoles"	"Spain"	40.483	-2.65	16.8	17.2	16.4	"mn4"	"mn4"	1	10	1	1	0	18.85	1.885
20077	"Artesilla"	"Spain"	41.183	-1.5	16.8	17.2	16.4	"mn4"	"mn4"	1.1	10	1.1	1.1	0.1	23.59	2.359
24412	"Baggersee Freudenegg 3"	"Germany"	48.3333	10.0106	16.8	17.2	16.4	"mn4"	"mn4"	1	6	1	1	0	18.81	3.135
20007	"Bézian"	"France"	43.9913431	0.4780953	16.8	17.2	16.4	"mn4"	"mn4"	1.08	13	1.08	1.07	0.08	25.91	1.99307692307692
20014	"Buñol"	"Spain"	39.4277777777778	-0.794444444444444	16.8	17.2	16.4	"mn4"	"mn4"	1.07	14	1.07	1.07	0.07	27.04	1.93142857142857
20029	"Can Canals"	"Spain"	41.4728881	1.7809935	16.8	17.2	16.4	"mn4"	"mn4"	1	15	1	1	0	23.98	1.59866666666667
27320	"Chêne de Navère"	"France"	43.9339997	0.6198052	16.8	17.2	16.4	"mn4"	"mn4"	1	4	1	1	0	17.43	4.3575
24295	"Eggingen-Mittelhart 3"	"Germany"	48.3633	9.8789	16.8	17.2	16.4	"mn4"	"mn4"	1.11	16	1.12	1.13	0.09	22.09	1.380625
20027	"El Canyet"	"Spain"	41.453606	1.996083	16.8	17.2	16.4	"mn4"	"mn4"	1	9	1	1	0	20.4	2.26666666666667
20008	"La Romieu"	"France"	44.2	0.9	16.8	17.2	16.4	"mn4"	"mn4"	1.05	19	1.05	1.06	0.06	26.99	1.42052631578947
27319	"La Romieu superior"	"France"	44.2	0.9	16.8	17.2	16.4	"mn4"	"mn4"	1	7	1	1	0	22.17	3.16714285714286
20016	"Langenau 1"	"Germany"	48.4855555555556	10.0997	16.8	17.2	16.4	"mn4"	"mn4"	1.21	14	1.21	1.22	0.16	25.11	1.79357142857143
21120	"Oberdorf 4 (O4)"	"Austria"	47.0752777777778	15.1513888888889	16.8	17.2	16.4	"mn4"	"mn4"	1	5	1	1	0	16.44	3.288
21315	"Pellecahus"	"France"	43.867	0.533	16.8	17.2	16.4	"mn4"	"mn4"	1.29	14	1.29	1.28	0.15	24.88	1.77714285714286
20006	"Artenay"	"France"	48.0773	1.8583	16.8	17.2	16.4	"mn4"	"mn4"	1	13	1	1	0	21.57	1.65923076923077
21473	"Chevilly"	"France"	48.033	1.883	16.8	17.2	16.4	"mn4"	"mn4"	1.14	7	1.14	1.13	0.13	19.21	2.74428571428571
20012	"Erkertshofen 2"	"Germany"	48.9797	11.2072222222222	16.8	17.2	16.4	"mn4"	"mn4"	1	8	1	1	0	16.49	2.06125
20410	"Langenau 2"	"Germany"	48.5	10.1	16.8	17.2	16.4	"mn4"	"mn4"	1	7	1	1	0	18.9	2.7
28950	"Mokrá Quarry 1/2001 Turtle Joi"	"Czech Republic"	49.2318466625905	16.751262241132	16.8	17.2	16.4	"mn4"	"mn4"	1	5	1	1	0	18.93	3.786
28951	"Mokrá Quarry 2/2003 Reptile Jo"	"Czech Republic"	49.2318572825852	16.7512645062541	16.8	17.2	16.4	"mn4"	"mn4"	1	4	1	1	0	15.45	3.8625
21225	"Montreal-du-Gers"	"France"	43.95	0.2	16.8	17.2	16.4	"mn4"	"mn4"	1.33	15	1.33	1.31	0.14	24.95	1.66333333333333
21119	"Oberdorf 3 (O3)"	"Austria"	47.0752777777778	15.1513888888889	16.8	17.2	16.4	"mn4"	"mn4"	1	3	1	1	0	10.16	3.38666666666667
