"GENUS"	"SITE"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"negative"	"true"	"prediction"	"rab"
"Hoploaceratherium"	"Pasalar"	13.525	14.2	12.85	0	0.7	1.16	6.7
"Listriodon"	"Pasalar"	13.525	14.2	12.85	0	0.9	1.08	6.2
"Anchitherium"	"Pasalar"	13.525	14.2	12.85	0	0.9	1.06	6.1
"Micromeryx"	"Pasalar"	13.525	14.2	12.85	0	0.7	1.05	6
"Gomphotherium"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.99	5.7
"Tethytragus"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.98	5.6
"Bunolistriodon"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.95	5.5
"Dorcatherium"	"Pasalar"	13.525	14.2	12.85	0	0.7	0.93	5.3
"Hypsodontus"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.91	5.2
"Brachypotherium"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.89	5.1
"Conohyus"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.85	4.9
"Giraffokeryx"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.83	4.8
"Deinotherium"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.84	4.8
"Taucanamo"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.81	4.7
"Palaeomeryx"	"Pasalar"	13.525	14.2	12.85	0	0.7	0.82	4.7
"Anisodon"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.8	4.6
"Griphopithecus"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.55	3.2
"Pliohyrax"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.54	3.1
"Begertherium"	"Pasalar"	13.525	14.2	12.85	0	0.9	0.53	3
"Hispanomeryx"	"Pasalar"	13.525	14.2	12.85	0	0.7	0.51	2.9
"Stephanocemas"	"Pasalar"	13.525	14.2	12.85	0	0.7	0.33	1.9
