""	""	""	""	""	"Stephanocemas"	"Procervulus"	"Lagomeryx"	"Stehlinoceros"	"Heteroprox"	"Dicrocerus"	"Euprox"	"Amphiprox"	"Cervavitus"	"Lucentia"
""	""	""	""	""	"12.8"	"9.9"	"7.6"	"11.1"	"11.2"	"8"	"7.6"	"7.6"	"7.6"	"7.6"
""	""	""	""	""	"17.2"	"17.2"	"17.2"	"16.4"	"16.4"	"16.4"	"16.4"	"11.2"	"13.6"	"10.6"
""	""	""	""	""	"1.2"	"1.1"	"1.1"	"1.1"	"1.1"	"1.1"	"1.2"	"1.5"	"1.7"	"1.4"
"Vivero de Pinos"	"Spain"	"7.6"	"8.9"	"1.7"	"-0.01"	"0.02"	"0.26"	"0.12"	"0"	"0.41"	"0.35"	"0.25"	"0.02"	"0.21"
"Montredon"	"France"	"8.9"	"9.9"	"1.6"	"0"	"0.05"	"0.14"	"0.1"	"0.18"	"0.28"	"0.58"	"0.36"	"0.18"	"0.34"
"Sinap 1"	"Turkey"	"9.6"	"9.7"	"1.5"	"0.03"	"0.31"	"0.17"	"0.06"	"0.02"	"0.04"	"0.27"	"0.04"	"0.3"	"-0.1"
"Sinap 91"	"Turkey"	"10"	"11.1"	"2"	"0"	"0.28"	"0.05"	"0.05"	"0.09"	"-0.03"	"0.24"	"0"	"0.22"	"-0.1"
"Draxeni"	"Moldova"	"9.9"	"11.2"	"1.7"	"-0.05"	"0.16"	"0.23"	"-0.08"	"-0.04"	"0.04"	"0.24"	"0.29"	"0.18"	"0.19"
"El Lugarejo"	"Spain"	"9.9"	"11.2"	"2"	"-0.09"	"0.2"	"-0.05"	"-0.04"	"0.25"	"-0.1"	"0.24"	"0"	"-0.07"	"0.07"
"Creu Conill 20"	"Spain"	"11.1"	"11.2"	"1.4"	"-0.04"	"-0.2"	"-0.13"	"0.11"	"0"	"0.16"	"0.78"	"0.38"	"0.09"	"0.17"
"Hammerschmiede"	"Germany"	"11.5"	"12.1"	"1"	"0.11"	"0.07"	"-0.19"	"0.33"	"0.1"	"0.23"	"0.78"	"0.27"	"-0.07"	"0.2"
"Petersbuch 6"	"Germany"	"11.2"	"12.8"	"1"	"0.01"	"0.1"	"0.39"	"0.01"	"0.32"	"0.21"	"0.23"	"0.06"	"0.09"	"0.05"
"Saint-Gaudens (Valentine)"	"France"	"11.2"	"12.8"	"1"	"0.12"	"0.33"	"0.21"	"0.49"	"0.32"	"0.47"	"0.62"	"0.2"	"0.04"	"0.12"
"Gisseltshausen 1a"	"Germany"	"12.8"	"14.2"	"1"	"0.01"	"0.42"	"0.68"	"0.08"	"0.36"	"0.32"	"0.3"	"0.02"	"0.12"	"-0.04"
"Murero"	"Spain"	"12.8"	"14.2"	"1"	"0.04"	"0.09"	"0.12"	"0.19"	"0.44"	"0.13"	"0.51"	"0"	"-0.06"	"-0.08"
"Armantes 3"	"Spain"	"14.2"	"16.4"	"1"	"0.11"	"0.47"	"0.44"	"0.06"	"0.08"	"0.17"	"0.11"	"0.06"	"-0.03"	"0.11"
"Enghausen"	"Germany"	"14.2"	"16.4"	"1"	"0.1"	"0.25"	"0.31"	"0.02"	"0.16"	"0.02"	"-0.06"	"0.08"	"0.01"	"0.1"
"Hüllistein"	"Switzerland"	"14.2"	"16.4"	"1"	"0.09"	"0.34"	"0.33"	"0.1"	"0.2"	"0.15"	"0.01"	"-0.01"	"-0.1"	"0.06"
"La Retama"	"Spain"	"14.2"	"16.4"	"1.3"	"0.13"	"0.63"	"0.32"	"-0.13"	"-0.01"	"-0.24"	"0.11"	"-0.01"	"0.04"	"-0.03"
"Oggenhausen 1"	"Germany"	"14.2"	"16.4"	"1"	"0.08"	"0.53"	"0.58"	"0.05"	"0.15"	"0.18"	"-0.08"	"0.09"	"0.07"	"0.14"
"Ziemetshausen 1b"	"Germany"	"14.2"	"16.4"	"1"	"0.16"	"0.42"	"0.76"	"0.46"	"0.15"	"0.86"	"0.21"	"0.11"	"0.02"	"0.13"
"Armantes 1"	"Spain"	"16.4"	"17.2"	"1.2"	"0.1"	"0.58"	"0.41"	"0.09"	"0.22"	"0.15"	"0.44"	"0.04"	"-0.1"	"0.07"
"Baggersee Freudenegg 2"	"Germany"	"16.4"	"17.2"	"1"	"0.05"	"0.33"	"0.42"	"0.08"	"0.35"	"0.14"	"0.04"	"-0.06"	"-0.06"	"-0.01"
"Baggersee Freudenegg 3"	"Germany"	"16.4"	"17.2"	"1"	"0.1"	"0.24"	"0.4"	"0.16"	"0.23"	"0.26"	"-0.06"	"0.02"	"-0.07"	"0.07"
"Munébrega 1"	"Spain"	"16.4"	"17.2"	"1.3"	"0.13"	"0.58"	"0.5"	"0.04"	"0.06"	"0.13"	"0.05"	"-0.03"	"-0.06"	"0.02"
"Torralba 1"	"Spain"	"16.4"	"17.2"	"1"	"0.03"	"0.48"	"0.44"	"-0.05"	"0.07"	"0"	"0.25"	"0.03"	"0.01"	"-0.06"
